           note_1_1      note_1_2      note_1_3      note_2_1      note_2_2  \
min    0.000000e+00  0.000000e+00  2.100000e+01  0.000000e+00  0.000000e+00   
25%    5.000000e+00  4.000000e+00  5.500000e+01  5.000000e+00  4.000000e+00   
50%    1.200000e+01  1.200000e+01  6.400000e+01  1.200000e+01  1.200000e+01   
75%    3.000000e+01  4.900000e+01  7.400000e+01  3.000000e+01  4.900000e+01   
max    1.046700e+04  8.879000e+03  1.080000e+02  1.001200e+04  1.379800e+04   

          note_16_1     note_16_2     note_16_3  
count  1.560211e+06  1.560211e+06  1.560211e+06  
mean   6.420970e+01  2.398772e+01  3.877615e+01  
std    1.399757e+01  4.823338e+01  7.682512e+01  
min    2.100000e+01  0.000000e+00  0.000000e+00  
25%    5.500000e+01  5.000000e+00  4.000000e+00  
50%    6.400000e+01  1.200000e+01  1.200000e+01  
75%    7.400000e+01  3.000000e+01  4.900000e+01  
max    1.080000e+02  8.301000e+03  7.002000e+03  
